abb,fips,name
ak,02,alaska
al,01,alabama
ar,05,arkansas
as,60,american samoa
az,04,arizona
ca,06,california
co,08,colorado
ct,09,connecticut
dc,11,district of columbia
de,10,delaware
fl,12,florida
ga,13,georgia
gu,66,guam
hi,15,hawaii
ia,19,iowa
id,16,idaho
il,17,illinois
in,18,indiana
ks,20,kansas
ky,21,kentucky
la,22,louisiana
ma,25,massachusetts
md,24,maryland
me,23,maine
mi,26,michigan
mn,27,minnesota
mo,29,missouri
ms,28,mississippi
mt,30,montana
nc,37,north carolina
nd,38,north dakota
ne,31,nebraska
nh,33,new hampshire
nj,34,new jersey
nm,35,new mexico
nv,32,nevada
ny,36,new york
oh,39,ohio
ok,40,oklahoma
or,41,oregon
pa,42,pennsylvania
pr,72,puerto rico
ri,44,rhode island
sc,45,south carolina
sd,46,south dakota
tn,47,tennessee
tx,48,texas
ut,49,utah
va,51,virginia
vi,78,virgin islands
vt,50,vermont
wa,53,washington
wi,55,wisconsin
wv,54,west virginia
wy,56,wyoming
mp,69,northern mariana islands
